headword_as_printed	expanded_form	inflection	pos	glosses	source_page	image_verified	scan_url
Անուշադր			s.	sal ammoniac.	dict-079.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf37.jpg
Անուշադրութիւն			s.	inattention.	dict-079.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf37.jpg
Անուշակ		աց	a.	sweet; agreeable to the taste; savoury; delicate; benign, gracious.; sweet, agreeable to the taste, savoury, delicate	dict-079.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf37.jpg
Անուշահամ			a.	sweet, savoury.	dict-079.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf37.jpg
Անուշահոտ			a.	sweet, odoriferous, delicate	dict-079.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf37.jpg
Անուշահոտեմ		եցի	vn.		dict-079.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf37.jpg
Անուշահոտիմ		եցայ	vn.	to smell sweet, to be odoriferous.	dict-079.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf37.jpg
Անուշահոտութիւն			s.	sweetness of smell, perfume.	dict-079.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf37.jpg
Անուշաճաշակ			s.		dict-079.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf37.jpg
Անուշամտութիւն			s.	mirth, gaiety, joy.	dict-079.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf37.jpg
Անուշարար			a.	that makes sweet; confectioner.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անուշարար			a.	confectioner.; that makes sweet	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անուշեմ		եցի	va.	to sweeten.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անուշութիւն			s.	sweetness; delicacy, exquisite flavour; affability, cheerfulness.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անուշունք			s. pl.	perfumes, odours	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անուշօդ			a.	mild weather.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անուորդ			s.	windlass; gin or triangle for pullies; engine.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անուս		ից	a.	ignorant, unlettered; stupid.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անուսումն			a.	ignorant, unlettered; stupid.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անուսութիւն			s.	illiterateness, ignorance, want of science.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անուսումնութիւն			s.	illiterateness, ignorance, want of science.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անուստեք					dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անուտելի			a.	uneatable, unfit for food.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անուր		անրոյ	s.	iron collar (of a pillory); collar; ring.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անուրջք		նրջոց, ջից	s. pl.	dream, vision, revery.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անոք			a.	destitute, abandoned by all, helpless.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անչար			a.	not vicious, harmless, void of malice.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անչարութի	Անչարութիւն		s.	ingenuousness, goodness, simplicity of character.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անչարչար			a.	impassible.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անչարչարելի			a.	impassible.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անչարչարութիւն			s.	impassibility.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անչափ		ից	ad.	immense, infinite; extreme, excessive, enormous, immoderate, superfluous, superabundant; intemperate, disordinate; dreadful, violent, grievous.; immensely, infinitely, beyond measure, excessively; intemperately, immoderately; hyperbolically.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անչափ			ad.	immensely, infinitely, beyond measure, excessively; intemperately, immoderately; hyperbolically.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
յԱնչափս			ad.	immensely, infinitely, beyond measure, excessively; intemperately, immoderately; hyperbolically.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անչափագիր					dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անչափակցութիւն			s.	want of symmetry, disproportion.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անչափահաս		ից	a.	not adult, not arrived at puberty.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անչափութիւն			s.	immensity; enormity; superfluity, superabundance, exuberance; immoderation, intemperance.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպախարակելի			a.	irreproachable.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպակաս			a.	faultless, perfect, accomplished, complete; unfailing; indefectible, inexhaustible; ad. perfectly; without fail; incessantly.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպակաս			a.	perfectly; without fail; incessantly.; faultless, perfect, accomplished, complete; unfailing; indefectible, inexhaustible; ad. perfectly	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպակասելի			a.	faultless, perfect, accomplished, complete; unfailing; indefectible, inexhaustible; ad. perfectly; without fail; incessantly.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպակասելի			a.	perfectly; without fail; incessantly.; faultless, perfect, accomplished, complete; unfailing; indefectible, inexhaustible; ad. perfectly	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպակասելութիւն			s.	indefectibility, continuance.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպահակ			a.	without a guardian or guard.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպահապան			a.	without a guardian or guard.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպահպանաբար			ad.	negligently, without observation.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպահպանապէս			ad.	negligently, without observation.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպահպանութիւն			s.	want of observation, negligence, infringement, infraction.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպաճոյճ		ճուճից	a.	unadorned, simple, plain, unpolished.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպաճուճաբար			ad.	without ornament, simply, plainly.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպայման			a.	unlimited, immense; ad. without condition.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպայման			a.	without condition.; unlimited, immense; ad. without condition.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպատասխանի			a.	without answer	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպատեհ			a.	unbecoming, improper, unsuitable, unfit, absurd, unseemly.; unbecoming, improper; unsuitable, unfit, absurd, unseemly.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպատեհութիւն			s.	absurdity, unsuitableness, incongruity, impropriety.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպատերազմասէր			a.	that loves not war, peaceable.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպատժեմ		եցի	vn.	to remove punishment, not to punish.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպատիժ			a.	unpunished; ad. with impunity.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպատիժ			a.	with impunity.; unpunished; ad. with impunity.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպատժութիւն			s.	impunity.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպատիր			a.	not deceitful, sincere; that cannot be deceived.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպատիւ		տուից	a.	dishonoured, dishonourable, abject, base, vile; ad. dishonourably, vilely	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպատիւ		տուից	a.	dishonourably, vilely; dishonoured, dishonourable, abject, base, vile; ad. dishonourably, vilely	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպատկան					dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպատկանաւոր					dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպատկառ		ից	a.	impudent, disrespectful, irreverent, immodest, shameless; ad. impudently, without shame, irreverently, disrespectfully.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպատկառ		ից	a.	impudently, without shame, irreverently, disrespectfully.; impudent, disrespectful, irreverent, immodest, shameless; ad. impudently, without shame, irreverently, disrespectfully.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպատկառութիւն			s.	effrontery, impudence, shamelessness; irreverence, disrespect.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպատկեր			a.	without image.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպատճառ			a.	without cause, - principle, causeless; without reason or motive; ad. absolutely, peremptorily.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպատճառ			a.	absolutely, peremptorily.; without cause, - principle, causeless; without reason or motive; ad. absolutely, peremptorily.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպատմելի					dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպատշաճ			etc.		dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպատուագիր			a.	disrespectful.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպատուասէր			a.	that does not love honours.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպատուաստ			a.	not grafted; that cannot be grafted; that cannot be united.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպատուաստելի			a.	not grafted; that cannot be grafted; that cannot be united.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անուրէք			a.	not confined to one place, unbounded, infinite; houseless, homeless.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպահակիմ		եցայ	vn.	to be irresolute, to hesitate, to delay	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպահեստ			a.	not preserved.	dict-080.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անջախջախ			a.	that cannot break; unbroken.; that cannot break; unbroken.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անջան			a.	careless; remiss; negligent; careless, remiss, negligent;	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անջատ			a.	separated; divided; disjoint.; separated, divided, disjoint.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անջատեմ		եցի	va.	to separate; to detach; to disjoin; to disunite; to uncouple.; to separate, to detach, to disjoin, to disunite; to uncouple.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անջատումն			s.	separation; disjunction.; separation, disjunction.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անջինջ, Անջնջելի			a.	indelible; slovenly.; indelible: slovenly.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անջնջելի			a.	indelible; slovenly.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անջուր, Անջրդի, դւոյ, Անջրդին			a.	without water; dry; arid; anhydrous.; without water, dry, arid, anhydrous.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անջրդի		դւոյ	a.	without water; dry; arid; anhydrous.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անջրդին			a.	without water; dry; arid; anhydrous.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անջրդութիւն			s.	dryness; aridity.; dryness, aridity.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անջրպետ		ից, աց	s.	intermedium; space; interval; interstice; partition; boundary.; intermedium, space, interval, interstice; partition, boundary.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անջրպետարան			s.	curtain of partition.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անջրպետեմ		եցի	va.	to separate; to cut off; to shut out; to exclude.; to separate, to cut off, to shut out, to exclude.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անջրպետութիւն			s.	space; interval; separation; partition.; space, interval; separation, partition.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անսահման, Անսահմանաւոր, Անսահմանելի			a.	infinite; unbounded; interminable; unlimited; indefinite; incomprehensible.; infinite, unbounded; interminable; unlimited; indefinite; incomprehensible.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անսահմանաւոր			a.	infinite; unbounded; interminable; unlimited; indefinite; incomprehensible.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անսահմանելի			a.	infinite; unbounded; interminable; unlimited; indefinite; incomprehensible.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անսահմանաբար			ad.	without limit; indefinitely; indeterminately.; without limit; indefinitely; indeterminately.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անսաղարթաբեր			a.	leafless; dead.; leafless, dead.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անսամ		ացի	vn.	to listen; to obey; to give ear to; to acquiesce; to yield; to consent; to submit; to listen, to obey, to give ear to, to acquiesce, to yield, to consent, to submit;	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպատուար					dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպատուեմ		եցի	va.	to dishonour.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպատուհաս			a.	unpunished.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպատում			a.	unspeakable, unutterable, inexpressible, ineffable.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպատուութիւն			s.	irreverence; dishonour.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպատսպար, Անպատսպարան			a.	unsupported, unprotected, abandoned.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպատրաստ		ից	a.	unprepared, unfurnished, unprovided;	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպատրաստութիւն			s.	want of preparation; unfurnished state.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպարագիծ, Անպարագիր					dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպարագրութիւն			s.	immensity.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպարապ			a.	busy, not at leisure; not engaged in business.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպարապանամ		ացայ	vn.	to be busy, to be occupied.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպարապութիւն			s.	want of leisure, business.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպարիմանալի			a.	incomprehensible.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպարիսպ			a.	without rampart, unwalled.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպարծ			a.	without bragging, modest.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպարծութիւն			s.	want of boasting.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպարկեշտ		ից	a.	immodest, unchaste, indecent, bawdy, obscene; dissolute, debauched;	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպարկեշտութիւն			s.	immodesty.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպարոյր			a.	uncircumscribed; unbounded, immense; incomprehensible.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպարունակ, Անպարունակելի					dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպարսաւ			a.	irreproachable;	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպարսպաւոր					dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպարտ		ից	a.	unblamable, innocent; not due;	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպարտագոյն			a.	very or more innocent.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպարտական			a.	not guilty; innocent.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպարտակիր			a.	that suffers innocently, innocent.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպարտասելի			a.	indefatigable.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպարտելի			a.	invincible, unconquered; insurmountable, unsubdued.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպարփակ					dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպէտ			a.	useless, vain, frivolous, insignificant; vile, abject, miserable, despicable, worthless;	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպիտան					dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպիտանանամ		ացայ	vn.	to be useless, to become useless, to spoil.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպիտանացուցանեմ		ուցի	va.	to render useless.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպիտանութիւն			s.	inutility; littleness, insignificance; baseness, vileness.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպիտոյք		ոյից	s. pl.	useless things.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպիտութիւն					dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպղերգ			a.	not lazy, diligent.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպղտոր			a.	un troubled, unclouded, clear, pure.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպողոտայ			a.	pathless.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպռոյգ			a.	without a dower.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպսակ			a.	without a crown.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպտղաբեր					dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպտղաբերութիւն, Անպտղութիւն			s.	infertility, unfruitfulness; unprofitableness.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անպտուղ			a.	unprofitable, useless; unfertile, unfruitful, barren;	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անջրելի			a.	indelible; indissoluble; incontestable.	dict-081.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf38.jpg
Անսայթաք, Անսայթաքելի			a.	that is not slippery; that does not stumble; firm, sure; infallible; infallible.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անսանձ			a.	without bridle, - reins; unbridled, unrestrained; unruly, ungovernable; unruly, ungovernable.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անսասան, Անսասանելի			a.	unshaken, immovable, firm; unshaken, immovable, firm.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անսաստ, Անսաստելի			a.	ungovernable, unruly, disobedient, obstinate, incorrigible; ungovernable, unruly, disobedient, obstinate, incorrigible.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անսաստեմ		եցի	vn.	to disobey, to resist, to be refractory; to disobey, to resist, to be refractory.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անսաստութիւն			s.	disobedience, contumacy, obstinacy; disobedience, contumacy, obstinacy.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անսեղան			a.	without having a table [for eating]; without having a table for eating.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անսեր			a.	steril; steril.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անսերմն, Անսերմնաւոր			a.	without seed; unfruitful, barren; unfruitful, barren.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անսէր			a.	without love, - affection; cold, unfeeling; cold, unfeeling.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անսին			a.	without nourishment; without nourishment.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անսիրելի			a.	who has neither lovers nor friends; antipathetic; antipathetic.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անսիրելութիւն, Անսիրութի	Անսիրութիւն		s.	want of love or affection; antipathy; antipathy.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անսիրտ			a.	heartless; heartless.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անսխալ			a.	without fault; infallible, impeccable; ad. infallibly.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անսխալ			a.	infallibly; without fault; infallible, impeccable; ad. infallibly.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անսխալութիւն			s.	infallibility; infallibility.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անսխուր			a.	without salary, unpaid, unrewarded; without salary, unpaid, unrewarded.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անսկզբնաբար			ad.	without beginning; without beginning.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անսկզբնական			a.	without beginning, that has existed from all eternity; without beginning, that has existed from all eternity.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անսկզբնակից			a.	equally without beginning, coeternal; equally without beginning, coeternal.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անսկզբնութիւն			s.	uncreatedness, eternal existence; uncreatedness, eternal existence.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անսկիզբն			a.	without beginning, eternal; baseless; baseless.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անսնունդ			S.		dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անսովոր			a.	unaccustomed; unusual; strange, extraordinary, new; irregular; irregular.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անսուաղ			a. ad.	hungry, unfed, troubled with hunger; fasting; without food	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անսուաղանամ		ացայ	vn.	to fast; to be hungry; to be hungry.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անսուաղութիւն			s.	hunger; fasting [state]; fasting state.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անսուգ			a.	without mourning, - affliction; without mourning, - affliction.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անսուտ			a.	real, true, certain; real, true, certain.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անսուրբ			a.	impure, unclean; unholy, profane; unholy, profane.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անսպառ, Անսպառական, Անսպառելի			a.	infinite, interminable; perpetual, durable; inexhaustible; inexhaustible.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անսպի			a.	unscarred; unscarred.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անստահակ			a.	docile, submissive; docile, submissive.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անստացուած		ից	a.	without means, - property, poor; without means, - property, poor.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անստացութիւն			s.	want of means, [poverty]; want of means, poverty.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
